name|link|born_date|born_location
Albert Einstein|https://quotes.toscrape.com/author/Albert-Einstein|March 14, 1879|in Ulm, Germany
J.K. Rowling|https://quotes.toscrape.com/author/J-K-Rowling|July 31, 1965|in Yate, South Gloucestershire, England, The United Kingdom
Jane Austen|https://quotes.toscrape.com/author/Jane-Austen|December 16, 1775|in Steventon Rectory, Hampshire, The United Kingdom
Marilyn Monroe|https://quotes.toscrape.com/author/Marilyn-Monroe|June 01, 1926|in The United States
André Gide|https://quotes.toscrape.com/author/Andre-Gide|November 22, 1869|in Paris, France
Thomas A. Edison|https://quotes.toscrape.com/author/Thomas-A-Edison|February 11, 1847|in Milan, Ohio, The United States
Eleanor Roosevelt|https://quotes.toscrape.com/author/Eleanor-Roosevelt|October 11, 1884|in The United States
Steve Martin|https://quotes.toscrape.com/author/Steve-Martin|August 14, 1945|in Waco, Texas, The United States
Bob Marley|https://quotes.toscrape.com/author/Bob-Marley|February 06, 1945|in Nine Mile, Saint Ann, Jamaica
Dr. Seuss|https://quotes.toscrape.com/author/Dr-Seuss|March 02, 1904|in Springfield, MA, The United States
Douglas Adams|https://quotes.toscrape.com/author/Douglas-Adams|March 11, 1952|in Cambridge, England, The United Kingdom
Elie Wiesel|https://quotes.toscrape.com/author/Elie-Wiesel|September 30, 1928|in Sighet, Romania
Friedrich Nietzsche|https://quotes.toscrape.com/author/Friedrich-Nietzsche|October 15, 1844|in Röcken bei Lützen, Prussian Province of Saxony, Germany
Mark Twain|https://quotes.toscrape.com/author/Mark-Twain|November 30, 1835|in Florida, Missouri, The United States
Allen Saunders|https://quotes.toscrape.com/author/Allen-Saunders|April 24, 1899|in The United States
Pablo Neruda|https://quotes.toscrape.com/author/Pablo-Neruda|July 12, 1904|in Parral, Chile
Ralph Waldo Emerson|https://quotes.toscrape.com/author/Ralph-Waldo-Emerson|May 25, 1803|in Boston, Massachusetts, The United States
Mother Teresa|https://quotes.toscrape.com/author/Mother-Teresa|August 26, 1910|in Skopje, Macedonia, the Former Yugoslav Republic of
Garrison Keillor|https://quotes.toscrape.com/author/Garrison-Keillor|August 07, 1942|in Anoka, Minnesota, The United States
Jim Henson|https://quotes.toscrape.com/author/Jim-Henson|September 24, 1936|in Greenville, Mississippi, The United States
Charles M. Schulz|https://quotes.toscrape.com/author/Charles-M-Schulz|November 26, 1922|in Minneapolis, MN, The United States
William Nicholson|https://quotes.toscrape.com/author/William-Nicholson|January 12, 1948|in Lewes, Sussex, The United Kingdom
Jorge Luis Borges|https://quotes.toscrape.com/author/Jorge-Luis-Borges|August 24, 1899|in Buenos Aires, Argentina
George Eliot|https://quotes.toscrape.com/author/George-Eliot|November 22, 1819|in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom
George R.R. Martin|https://quotes.toscrape.com/author/George-R-R-Martin|September 20, 1948|in Bayonne, New Jersey, The United States
C.S. Lewis|https://quotes.toscrape.com/author/C-S-Lewis|November 29, 1898|in Belfast, Ireland
Martin Luther King Jr.|https://quotes.toscrape.com/author/Martin-Luther-King-Jr|January 15, 1929|in Atlanta, Georgia, The United States
James Baldwin|https://quotes.toscrape.com/author/James-Baldwin|August 02, 1924|in Harlem, New York, The United States
Haruki Murakami|https://quotes.toscrape.com/author/Haruki-Murakami|January 12, 1949|in Kyoto, Japan
Alexandre Dumas fils|https://quotes.toscrape.com/author/Alexandre-Dumas-fils|July 27, 1824|in Paris, France
Stephenie Meyer|https://quotes.toscrape.com/author/Stephenie-Meyer|December 24, 1973|in Connecticut, The United States
Ernest Hemingway|https://quotes.toscrape.com/author/Ernest-Hemingway|July 21, 1899|in Oak Park, Illinois, The United States
Helen Keller|https://quotes.toscrape.com/author/Helen-Keller|June 27, 1880|in Tuscumbia, Alabama, The United States
George Bernard Shaw|https://quotes.toscrape.com/author/George-Bernard-Shaw|July 26, 1856|in Dublin, Ireland
Charles Bukowski|https://quotes.toscrape.com/author/Charles-Bukowski|August 16, 1920|in Andernach, Germany
Suzanne Collins|https://quotes.toscrape.com/author/Suzanne-Collins|August 11, 1962|in Hartford, Connecticut, The United States
J.R.R. Tolkien|https://quotes.toscrape.com/author/J-R-R-Tolkien|January 03, 1892|in Bloemfontein, Mangaung, Free State, South Africa
Alfred Tennyson|https://quotes.toscrape.com/author/Alfred-Tennyson|August 06, 1809|in Somersby, Lincolnshire, The United Kingdom
Terry Pratchett|https://quotes.toscrape.com/author/Terry-Pratchett|April 28, 1948|in Beaconsfield, Buckinghamshire, England, The United Kingdom
J.D. Salinger|https://quotes.toscrape.com/author/J-D-Salinger|January 01, 1919|in Manhattan, New York, The United States
George Carlin|https://quotes.toscrape.com/author/George-Carlin|May 12, 1937|in New York, New York, The United States
John Lennon|https://quotes.toscrape.com/author/John-Lennon|October 09, 1940|in Liverpool, England, The United Kingdom
W.C. Fields|https://quotes.toscrape.com/author/W-C-Fields|January 29, 1880|in Darby, Pennsylvania, The United States
Ayn Rand|https://quotes.toscrape.com/author/Ayn-Rand|February 02, 1905|in St. Petersburg, Russian Federation
Jimi Hendrix|https://quotes.toscrape.com/author/Jimi-Hendrix|November 27, 1942|in Seattle, Washington, The United States
J.M. Barrie|https://quotes.toscrape.com/author/J-M-Barrie|May 09, 1860|in Kirriemuir, Angus, Scotland, The United Kingdom
E.E. Cummings|https://quotes.toscrape.com/author/E-E-Cummings|October 14, 1894|in Cambridge, Massachusetts, The United States
Khaled Hosseini|https://quotes.toscrape.com/author/Khaled-Hosseini|March 04, 1965|in Kabul, Afghanistan
Harper Lee|https://quotes.toscrape.com/author/Harper-Lee|April 28, 1926|in Monroeville, Alabama, The United States
Madeleine L'Engle|https://quotes.toscrape.com/author/Madeleine-LEngle|November 29, 1918|in New York City, New York, The United States
